S_No,TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP_Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
1233,TX001233,AC00160,269.79,2023-10-03 16:15:00,Debit,San Jose,D000202,82.115.199.37,M013,ATM,52,Engineer,17,1.0,1292.1,2024-11-04 08:07:00
1250,TX001250,AC00383,256.3,2023-04-05 16:21:00,Debit,New York,D000099,133.63.96.21,M066,Online,53,Retired,172,1.0,4203.05,2024-11-04 08:06:00
409,TX000409,AC00177,230.61,2023-09-04 16:41:00,Debit,Raleigh,D000083,97.4.209.133,M076,Branch,80,Retired,204,1.0,2561.42,2024-11-04 08:09:00
663,TX000663,AC00424,56.02,2023-06-19 17:50:00,Debit,Memphis,D000455,81.248.235.147,M003,Online,27,Student,142,1.0,3548.02,2024-11-04 08:07:00
1507,TX001507,AC00239,278.88,2023-09-29 16:53:00,Debit,Kansas City,D000350,184.185.209.72,M001,Branch,64,Doctor,179,2.0,1334.09,2024-11-04 08:09:00
1709,TX001709,AC00185,206.51,2023-12-18 17:09:00,Debit,Indianapolis,D000354,101.90.40.193,M046,ATM,51,Retired,275,1.0,3921.74,2024-11-04 08:07:00
1775,TX001775,AC00358,17.79,2023-02-22 17:01:00,Debit,Jacksonville,D000409,203.245.215.62,M091,Branch,61,Retired,162,2.93258857489891,2281.9,2024-11-04 08:11:00
1751,TX001751,AC00155,607.28,2023-01-23 16:47:00,Debit,Baltimore,D000376,131.41.45.13,M098,ATM,32,Doctor,84,1.0,9679.68,2024-11-04 08:10:00
1859,TX001859,AC00393,134.92,2023-10-31 16:46:00,Debit,Los Angeles,D000636,125.225.212.244,M021,Online,19,Student,101,1.0,1081.97,2024-11-04 08:09:00
1577,TX001577,AC00059,65.11,2023-09-07 16:47:00,Debit,Nashville,D000204,223.32.70.156,M026,ATM,34,Engineer,150,1.0,8485.14,2024-11-04 08:08:00
1779,TX001779,AC00327,720.89,2023-12-18 17:10:00,Debit,Indianapolis,D000496,100.198.165.4,M008,ATM,27,Student,120,1.0,447.06,2024-11-04 08:10:00
103,TX000103,AC00075,83.24,2023-10-16 18:35:00,Credit,Fort Worth,D000607,21.28.32.1,M009,Branch,55,Doctor,164,1.0,1181.31,2024-11-04 08:10:00
813,TX000813,AC00292,161.63,2023-12-25 16:32:00,Debit,San Jose,D000626,34.86.220.205,M077,Online,46,Doctor,276,1.0,9286.37,2024-11-04 08:08:00
2479,TX002479,AC00276,336.84,2023-03-07 17:24:00,Debit,Washington,D000559,161.195.172.148,M073,ATM,22,Student,100,1.0,4500.26,2024-11-04 08:09:00
507,TX000507,AC00327,493.42,2023-06-14 17:21:00,Debit,Baltimore,D000474,28.149.72.129,M039,Branch,39,Engineer,111,1.0,2232.84,2024-11-04 08:10:00
2191,TX002191,AC00497,184.19,2023-04-24 16:28:00,Debit,Indianapolis,D000396,80.75.92.66,M035,ATM,67,Retired,58,1.0,7588.67,2024-11-04 08:10:00
1888,TX001888,AC00206,74.11,2023-09-08 16:09:00,Credit,Virginia Beach,D000320,147.119.62.178,M065,Online,69,Retired,71,2.93258857489891,3920.11,2024-11-04 08:08:00
2188,TX002188,AC00353,151.37,2023-04-03 16:55:00,Debit,Baltimore,D000017,104.155.121.252,M044,ATM,54,Engineer,53,1.0,8356.08,2024-11-04 08:08:00
809,TX000809,AC00422,80.24,2023-05-19 17:28:00,Credit,New York,D000604,190.92.63.219,M016,Branch,53,Doctor,58,1.0,8012.81,2024-11-04 08:12:00
1938,TX001938,AC00231,26.31,2023-08-11 16:38:00,Credit,Austin,D000392,187.199.178.27,M028,Online,77,Retired,163,1.0,7095.76,2024-11-04 08:06:00
188,TX000188,AC00258,630.36,2023-03-02 16:11:00,Debit,Mesa,D000091,200.22.195.243,M084,ATM,62,Retired,52,1.0,1363.65,2024-11-04 08:12:00
1142,TX001142,AC00241,112.72,2023-03-27 16:34:00,Debit,Washington,D000602,189.248.139.91,M028,Branch,31,Doctor,17,1.0,9630.0,2024-11-04 08:12:00
2268,TX002268,AC00416,1173.43250801351,2023-04-19 16:38:00,Debit,Raleigh,D000017,164.75.163.220,M092,Branch,29,Engineer,118,1.0,2861.65,2024-11-04 08:06:00
2207,TX002207,AC00464,243.85,2023-12-20 16:41:00,Debit,Omaha,D000300,197.162.55.147,M082,Branch,39,Engineer,43,1.0,4576.78,2024-11-04 08:08:00
1287,TX001287,AC00225,39.48,2023-05-26 16:47:00,Debit,Omaha,D000435,152.234.65.155,M017,ATM,56,Retired,38,1.0,5889.51,2024-11-04 08:11:00
2494,TX002494,AC00279,856.9,2023-03-17 16:10:00,Debit,New York,D000673,191.25.177.160,M088,Branch,36,Engineer,150,1.0,8579.69,2024-11-04 08:09:00
2380,TX002380,AC00443,684.5,2023-07-31 18:52:00,Debit,Fort Worth,D000075,190.251.45.32,M035,Branch,29,Doctor,76,1.0,6258.63,2024-11-04 08:10:00
1367,TX001367,AC00268,195.49,2023-06-12 16:34:00,Debit,Memphis,D000472,147.227.81.224,M016,ATM,31,Doctor,212,1.0,11988.12,2024-11-04 08:08:00
747,TX000747,AC00110,73.95,2023-11-03 16:39:00,Debit,Kansas City,D000337,6.204.110.7,M012,ATM,26,Student,76,1.0,363.92,2024-11-04 08:07:00
886,TX000886,AC00133,11.46,2023-02-13 16:53:00,Credit,San Francisco,D000315,13.188.62.74,M092,Online,41,Engineer,128,1.0,2356.71,2024-11-04 08:09:00
504,TX000504,AC00080,149.25,2023-04-10 16:38:00,Debit,Omaha,D000604,3.77.114.6,M067,ATM,39,Engineer,142,1.0,5677.52,2024-11-04 08:07:00
692,TX000692,AC00418,25.94,2023-10-16 18:53:00,Credit,San Jose,D000232,42.219.228.159,M003,Online,58,Retired,211,2.93258857489891,4815.11,2024-11-04 08:06:00
2252,TX002252,AC00359,20.06,2023-04-19 16:41:00,Debit,Memphis,D000184,206.168.209.111,M017,ATM,27,Student,144,1.0,445.21,2024-11-04 08:10:00
259,TX000259,AC00363,434.58,2023-09-06 16:28:00,Debit,Memphis,D000136,80.92.209.207,M091,ATM,59,Doctor,215,1.0,12648.32,2024-11-04 08:08:00
612,TX000612,AC00242,35.16,2023-10-25 17:50:00,Debit,Chicago,D000075,195.237.152.198,M029,Branch,32,Engineer,130,1.0,8459.18,2024-11-04 08:10:00
1034,TX001034,AC00032,43.91,2023-08-17 18:31:00,Debit,Albuquerque,D000515,149.84.108.18,M073,Online,27,Student,86,1.0,1806.68,2024-11-04 08:12:00
2511,TX002511,AC00118,185.97,2023-02-24 16:24:00,Debit,Denver,D000634,21.190.11.223,M041,Online,23,Student,19,1.0,1776.91,2024-11-04 08:12:00
1390,TX001390,AC00315,459.25,2023-05-23 16:44:00,Debit,Tucson,D000248,28.149.72.129,M043,Branch,25,Student,59,1.0,130.76,2024-11-04 08:11:00
1157,TX001157,AC00211,917.81,2023-08-30 18:38:00,Debit,Kansas City,D000217,42.61.10.112,M047,ATM,64,Retired,75,2.0,3173.17,2024-11-04 08:09:00
451,TX000451,AC00495,745.03,2023-08-03 17:42:00,Debit,Fort Worth,D000031,30.92.249.132,M075,Online,28,Student,231,1.0,160.57,2024-11-04 08:09:00
177,TX000177,AC00363,1173.43250801351,2023-02-10 18:07:00,Debit,El Paso,D000213,93.52.44.101,M001,ATM,29,Engineer,106,1.0,2429.68,2024-11-04 08:11:00
454,TX000454,AC00235,107.47,2023-04-12 17:39:00,Debit,Austin,D000606,59.208.79.116,M037,Online,67,Retired,144,1.0,7517.5,2024-11-04 08:12:00
1254,TX001254,AC00439,903.19,2023-07-06 17:52:00,Debit,El Paso,D000286,174.61.77.54,M028,Online,22,Student,65,1.0,8627.08,2024-11-04 08:06:00
822,TX000822,AC00389,247.17,2023-05-22 17:58:00,Credit,Chicago,D000081,56.89.80.133,M096,Branch,65,Retired,149,1.0,2611.64,2024-11-04 08:07:00
1605,TX001605,AC00258,304.15,2023-11-28 16:09:00,Debit,Atlanta,D000012,214.67.148.245,M010,Branch,20,Student,40,1.0,686.91,2024-11-04 08:10:00
2198,TX002198,AC00145,515.57,2023-01-02 17:26:00,Debit,Columbus,D000196,147.227.81.224,M027,ATM,27,Engineer,56,1.0,9269.67,2024-11-04 08:06:00
191,TX000191,AC00396,1173.43250801351,2023-07-10 17:49:00,Debit,Washington,D000569,188.124.181.12,M072,Branch,79,Retired,165,1.0,5674.32,2024-11-04 08:06:00
142,TX000142,AC00114,1049.92,2023-10-23 16:50:00,Debit,Detroit,D000522,121.67.144.20,M052,ATM,80,Retired,21,1.0,2037.85,2024-11-04 08:10:00
118,TX000118,AC00498,56.98,2024-01-01 16:34:00,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2.0,5688.37,2024-11-04 08:07:00
271,TX000271,AC00023,196.08,2023-08-25 16:52:00,Debit,San Francisco,D000623,198.73.211.114,M088,Online,61,Retired,98,1.0,4233.82,2024-11-04 08:06:00
1393,TX001393,AC00481,5.29,2023-03-13 18:24:00,Credit,San Francisco,D000121,62.27.235.199,M008,Online,32,Doctor,132,1.0,12896.68,2024-11-04 08:11:00
1289,TX001289,AC00468,19.11,2023-09-18 16:31:00,Credit,Colorado Springs,D000546,148.25.159.90,M007,Online,49,Engineer,160,1.0,8478.46,2024-11-04 08:11:00
1011,TX001011,AC00247,273.92,2023-05-08 17:54:00,Debit,Virginia Beach,D000602,101.90.40.193,M086,Online,28,Student,35,1.0,1029.15,2024-11-04 08:09:00
1645,TX001645,AC00106,329.75,2023-12-25 17:31:00,Debit,Sacramento,D000369,160.160.113.117,M064,Online,56,Retired,211,1.0,6009.43,2024-11-04 08:09:00
799,TX000799,AC00304,74.73,2023-01-30 17:17:00,Credit,Jacksonville,D000566,92.180.81.50,M009,Branch,64,Retired,162,1.0,6353.22,2024-11-04 08:08:00
888,TX000888,AC00265,103.08,2023-02-27 16:48:00,Credit,Milwaukee,D000304,66.255.7.16,M096,Branch,49,Engineer,150,1.0,9251.38,2024-11-04 08:06:00
302,TX000302,AC00488,744.41,2023-07-31 16:35:00,Credit,Houston,D000115,24.181.236.233,M095,Online,39,Engineer,107,1.0,8842.47,2024-11-04 08:11:00
2094,TX002094,AC00072,501.3,2023-05-22 18:27:00,Credit,San Antonio,D000428,197.187.216.106,M020,Online,26,Engineer,146,1.0,8520.08,2024-11-04 08:08:00
1833,TX001833,AC00385,136.88,2023-07-18 17:41:00,Credit,Memphis,D000545,115.241.186.164,M029,Branch,24,Student,71,1.0,7465.95,2024-11-04 08:10:00
1399,TX001399,AC00410,282.65,2023-03-08 17:42:00,Debit,Fort Worth,D000626,135.73.131.111,M012,ATM,35,Doctor,161,1.0,13801.15,2024-11-04 08:08:00
1004,TX001004,AC00070,156.58,2023-09-18 16:03:00,Debit,Portland,D000079,48.31.196.24,M083,Branch,24,Student,160,1.0,8981.61,2024-11-04 08:09:00
1300,TX001300,AC00304,314.55,2023-04-25 17:15:00,Credit,Dallas,D000513,40.192.99.27,M001,Branch,27,Student,19,2.0,1105.89,2024-11-04 08:07:00
2053,TX002053,AC00120,183.22,2023-10-05 18:40:00,Debit,Milwaukee,D000290,64.15.0.66,M099,ATM,27,Student,63,1.0,1024.42,2024-11-04 08:07:00
2033,TX002033,AC00438,166.06,2023-07-14 16:06:00,Debit,Indianapolis,D000195,85.239.236.80,M020,ATM,30,Engineer,172,1.0,5397.68,2024-11-04 08:07:00
1598,TX001598,AC00105,122.65,2023-08-17 16:26:00,Debit,Columbus,D000253,119.199.76.61,M039,Online,28,Student,41,1.0,1968.51,2024-11-04 08:06:00
1296,TX001296,AC00035,206.63,2023-12-07 16:11:00,Credit,Oklahoma City,D000239,115.30.82.168,M023,Online,59,Retired,128,1.0,7626.53,2024-11-04 08:10:00
2424,TX002424,AC00340,332.06,2023-06-21 16:38:00,Debit,Seattle,D000365,94.37.250.128,M086,ATM,29,Doctor,221,2.93258857489891,11826.52,2024-11-04 08:06:00
1333,TX001333,AC00051,186.55,2023-06-21 16:49:00,Debit,Philadelphia,D000049,60.166.231.236,M003,Branch,48,Engineer,288,1.0,224.65,2024-11-04 08:07:00
537,TX000537,AC00125,56.94,2023-12-11 16:52:00,Credit,Charlotte,D000542,69.82.61.135,M043,Online,76,Retired,74,1.0,7004.63,2024-11-04 08:07:00
1294,TX001294,AC00200,190.17,2023-06-09 17:41:00,Debit,Baltimore,D000467,148.181.195.227,M043,ATM,49,Doctor,265,1.0,12893.85,2024-11-04 08:08:00
1613,TX001613,AC00102,24.86,2023-02-13 16:53:00,Debit,Jacksonville,D000340,52.50.209.49,M007,Branch,58,Engineer,292,1.0,2591.65,2024-11-04 08:12:00
1610,TX001610,AC00273,1173.43250801351,2023-01-17 17:50:00,Debit,Charlotte,D000434,13.88.251.53,M075,ATM,30,Doctor,49,1.0,5567.98,2024-11-04 08:09:00
1133,TX001133,AC00236,185.71,2023-08-07 16:15:00,Debit,Virginia Beach,D000635,32.71.250.58,M084,Branch,48,Engineer,194,1.0,2679.91,2024-11-04 08:09:00
1780,TX001780,AC00349,268.7,2023-10-03 16:16:00,Debit,Milwaukee,D000243,98.39.212.221,M013,ATM,53,Retired,63,1.0,2104.74,2024-11-04 08:06:00
325,TX000325,AC00286,233.24,2023-04-17 16:56:00,Debit,Louisville,D000351,45.241.13.208,M070,ATM,33,Engineer,72,1.0,6939.23,2024-11-04 08:07:00
2064,TX002064,AC00110,351.38,2023-06-26 18:41:00,Debit,New York,D000254,47.82.77.181,M026,Branch,64,Retired,21,1.0,7606.63,2024-11-04 08:06:00
2125,TX002125,AC00039,737.46,2023-01-03 16:28:00,Credit,Albuquerque,D000443,202.194.199.70,M037,Branch,53,Doctor,75,2.93258857489891,634.16,2024-11-04 08:07:00
43,TX000043,AC00120,241.42,2023-04-20 18:57:00,Credit,Charlotte,D000198,60.89.202.192,M044,Online,57,Doctor,116,1.0,13357.02,2024-11-04 08:09:00
2122,TX002122,AC00090,320.11,2023-08-31 16:26:00,Debit,El Paso,D000614,85.240.254.83,M025,Branch,23,Student,130,1.0,4076.48,2024-11-04 08:07:00
883,TX000883,AC00474,119.01,2023-03-13 17:26:00,Debit,Philadelphia,D000418,14.200.197.126,M069,ATM,45,Doctor,87,1.0,9798.26,2024-11-04 08:09:00
1919,TX001919,AC00463,79.33,2023-12-06 16:10:00,Credit,Las Vegas,D000154,64.15.0.66,M026,Online,51,Doctor,109,1.0,14798.1,2024-11-04 08:07:00
651,TX000651,AC00139,119.61,2023-03-14 16:21:00,Debit,San Diego,D000102,99.205.173.118,M017,ATM,33,Doctor,53,1.0,9899.94,2024-11-04 08:07:00
775,TX000775,AC00061,27.21,2023-06-14 16:34:00,Debit,San Jose,D000700,28.149.72.129,M050,ATM,79,Retired,102,1.0,3520.61,2024-11-04 08:06:00
2090,TX002090,AC00076,45.9,2023-07-04 18:55:00,Debit,Columbus,D000565,221.169.49.152,M002,Branch,56,Engineer,264,1.0,5698.25,2024-11-04 08:07:00
575,TX000575,AC00188,220.41,2023-09-04 16:42:00,Credit,El Paso,D000574,133.223.159.151,M059,Online,26,Engineer,155,1.0,5116.98,2024-11-04 08:10:00
76,TX000076,AC00239,232.12,2023-12-28 17:31:00,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1.0,6689.87,2024-11-04 08:09:00
997,TX000997,AC00475,135.85,2023-08-03 17:25:00,Debit,Fresno,D000430,65.27.212.129,M015,Online,57,Retired,269,1.0,1480.39,2024-11-04 08:08:00
329,TX000329,AC00264,354.4,2023-11-06 17:23:00,Debit,Chicago,D000416,87.234.36.48,M046,ATM,74,Retired,128,1.0,7358.65,2024-11-04 08:10:00
1914,TX001914,AC00290,41.93,2023-02-13 16:44:00,Debit,Fresno,D000600,211.45.75.44,M055,ATM,48,Engineer,136,1.0,5081.26,2024-11-04 08:06:00
1770,TX001770,AC00076,168.99,2023-05-01 18:38:00,Debit,Baltimore,D000221,160.74.183.38,M078,ATM,18,Student,203,1.0,1523.57,2024-11-04 08:10:00
2048,TX002048,AC00009,425.18,2023-02-20 16:16:00,Credit,Fresno,D000270,27.93.195.98,M057,Online,59,Engineer,135,1.0,5790.55,2024-11-04 08:11:00
1669,TX001669,AC00368,350.96,2023-06-08 16:26:00,Debit,Tucson,D000458,97.106.5.76,M046,ATM,63,Retired,167,1.0,5463.94,2024-11-04 08:08:00
1984,TX001984,AC00088,295.93,2023-02-20 17:26:00,Debit,Boston,D000414,145.179.219.57,M021,Branch,36,Doctor,117,1.0,1050.63,2024-11-04 08:09:00
937,TX000937,AC00446,662.11,2023-02-02 16:52:00,Debit,Atlanta,D000416,145.246.171.225,M100,Branch,23,Student,219,1.0,1996.38,2024-11-04 08:07:00
1759,TX001759,AC00141,148.26,2023-05-08 17:33:00,Debit,Omaha,D000389,4.105.134.118,M021,ATM,25,Student,57,1.0,958.7,2024-11-04 08:12:00
1484,TX001484,AC00198,561.58,2023-06-23 17:38:00,Debit,Sacramento,D000229,170.154.69.105,M022,Online,65,Doctor,23,1.0,11748.86,2024-11-04 08:06:00
2428,TX002428,AC00374,245.62,2023-12-15 17:01:00,Debit,San Antonio,D000045,167.164.55.0,M021,Branch,23,Student,127,1.0,1879.82,2024-11-04 08:08:00
2498,TX002498,AC00030,348.17,2023-05-10 17:56:00,Debit,El Paso,D000269,82.51.236.134,M072,ATM,21,Student,181,1.0,1887.84,2024-11-04 08:11:00
12,TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21,Student,173,1.0,1528.81,2024-11-04 08:07:00
744,TX000744,AC00360,46.75,2023-07-31 17:37:00,Debit,Colorado Springs,D000469,196.244.194.198,M078,Branch,67,Retired,150,1.0,2840.43,2024-11-04 08:09:00
2167,TX002167,AC00448,222.96,2023-03-23 17:26:00,Credit,Fresno,D000328,203.245.215.62,M073,ATM,65,Doctor,150,1.0,7370.41,2024-11-04 08:12:00
2290,TX002290,AC00359,251.8,2023-04-03 16:14:00,Debit,Mesa,D000657,59.208.79.116,M020,ATM,62,Doctor,102,1.0,11796.66,2024-11-04 08:10:00
236,TX000236,AC00175,54.03,2023-09-19 17:16:00,Credit,Milwaukee,D000519,161.25.82.11,M087,ATM,56,Retired,161,1.0,6736.3,2024-11-04 08:07:00
2117,TX002117,AC00043,309.42,2023-10-18 16:51:00,Debit,Fresno,D000395,214.32.109.197,M089,Branch,27,Engineer,42,1.0,8564.46,2024-11-04 08:10:00
731,TX000731,AC00253,430.35,2023-02-20 17:23:00,Debit,Charlotte,D000096,217.233.219.196,M007,Online,36,Doctor,205,1.0,354.9,2024-11-04 08:10:00
29,TX000029,AC00390,127.45,2023-01-24 16:18:00,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1.0,1772.06,2024-11-04 08:11:00
1385,TX001385,AC00338,153.08,2023-11-27 16:57:00,Debit,Omaha,D000637,130.29.230.16,M057,ATM,24,Student,201,1.0,1292.21,2024-11-04 08:09:00
309,TX000309,AC00067,20.28,2023-07-19 17:42:00,Debit,Oklahoma City,D000585,150.83.4.238,M047,Online,36,Engineer,213,1.0,2047.83,2024-11-04 08:10:00
1273,TX001273,AC00329,30.52,2023-05-19 17:19:00,Debit,Jacksonville,D000526,104.165.213.58,M005,Branch,62,Doctor,122,1.0,12327.74,2024-11-04 08:07:00
280,TX000280,AC00445,671.73,2023-10-16 16:15:00,Debit,Washington,D000641,112.56.160.202,M071,Branch,58,Engineer,54,1.0,5211.88,2024-11-04 08:12:00
2272,TX002272,AC00295,308.85,2023-11-29 18:03:00,Credit,Los Angeles,D000342,116.43.88.219,M030,Branch,20,Student,33,2.0,333.19,2024-11-04 08:08:00
1816,TX001816,AC00355,317.94,2023-01-25 17:46:00,Debit,Los Angeles,D000335,170.54.231.239,M091,ATM,54,Engineer,124,1.0,2996.51,2024-11-04 08:11:00
572,TX000572,AC00434,41.49,2023-04-24 16:47:00,Debit,Albuquerque,D000422,32.71.250.58,M027,Online,24,Student,13,1.0,928.33,2024-11-04 08:12:00
863,TX000863,AC00450,209.03,2023-10-09 18:20:00,Debit,Detroit,D000371,175.210.47.87,M012,Branch,55,Engineer,126,1.0,8359.5,2024-11-04 08:10:00
1906,TX001906,AC00217,40.83,2023-08-16 16:40:00,Debit,Indianapolis,D000627,1.238.163.61,M040,ATM,48,Engineer,24,1.0,3944.12,2024-11-04 08:12:00
1857,TX001857,AC00134,49.59,2023-08-25 16:45:00,Debit,Boston,D000679,18.92.67.57,M089,Branch,48,Engineer,147,1.0,6037.03,2024-11-04 08:09:00
2000,TX002000,AC00261,27.64,2023-06-09 17:14:00,Debit,New York,D000044,208.142.57.37,M065,Online,54,Engineer,23,1.0,7498.51,2024-11-04 08:08:00
639,TX000639,AC00416,655.15,2023-01-02 16:22:00,Debit,Seattle,D000626,11.167.243.171,M083,ATM,26,Engineer,264,1.0,5587.44,2024-11-04 08:07:00
1197,TX001197,AC00404,63.98,2023-10-30 16:01:00,Debit,Baltimore,D000150,182.225.2.156,M026,Online,54,Doctor,258,1.0,7954.12,2024-11-04 08:06:00
2034,TX002034,AC00435,357.72,2023-08-07 17:29:00,Debit,Miami,D000334,3.70.1.133,M082,ATM,53,Retired,25,1.0,7659.5,2024-11-04 08:11:00
789,TX000789,AC00196,260.63,2023-12-20 18:58:00,Debit,Fort Worth,D000564,36.13.239.172,M005,Branch,37,Engineer,142,1.0,7534.73,2024-11-04 08:08:00
702,TX000702,AC00030,211.1,2023-09-14 16:58:00,Debit,Miami,D000653,19.228.76.177,M070,Branch,57,Retired,136,1.0,7059.77,2024-11-04 08:07:00
358,TX000358,AC00459,374.5,2023-07-24 16:45:00,Credit,San Francisco,D000045,9.230.41.239,M002,Branch,26,Student,178,1.0,1671.51,2024-11-04 08:08:00
2183,TX002183,AC00209,189.65,2023-09-25 16:32:00,Debit,Charlotte,D000346,145.76.10.8,M100,ATM,21,Student,60,1.0,8457.09,2024-11-04 08:11:00
1477,TX001477,AC00002,12.62,2023-05-05 16:35:00,Debit,El Paso,D000475,93.160.83.196,M068,Branch,33,Doctor,61,1.0,6420.47,2024-11-04 08:09:00
292,TX000292,AC00284,1036.21,2023-07-21 18:54:00,Debit,Omaha,D000129,93.218.115.132,M067,Online,25,Student,126,1.0,477.3,2024-11-04 08:12:00
1716,TX001716,AC00500,225.93,2023-03-13 17:57:00,Credit,Omaha,D000142,147.114.91.132,M097,Branch,25,Student,199,1.0,1864.27,2024-11-04 08:08:00
2463,TX002463,AC00464,577.13,2023-09-27 16:50:00,Credit,San Jose,D000438,194.88.79.54,M065,Branch,40,Engineer,66,1.0,6640.51,2024-11-04 08:08:00
2239,TX002239,AC00251,433.53,2023-10-19 17:06:00,Debit,Philadelphia,D000573,166.79.195.157,M098,Branch,38,Doctor,231,1.0,6368.32,2024-11-04 08:09:00
1118,TX001118,AC00122,248.66,2023-02-03 17:46:00,Debit,Chicago,D000129,175.166.115.182,M058,Online,28,Engineer,113,1.0,2571.39,2024-11-04 08:11:00
819,TX000819,AC00366,372.41,2023-06-19 18:12:00,Debit,San Diego,D000362,214.125.131.88,M088,ATM,55,Retired,143,1.0,3233.87,2024-11-04 08:06:00
2035,TX002035,AC00472,588.37,2023-01-05 17:48:00,Debit,Dallas,D000482,49.20.211.229,M100,Online,28,Student,284,1.0,1926.08,2024-11-04 08:07:00
1316,TX001316,AC00036,710.43,2023-03-08 17:07:00,Debit,San Diego,D000398,189.198.67.252,M007,Online,67,Retired,115,1.0,5625.55,2024-11-04 08:08:00
1378,TX001378,AC00063,116.88,2023-10-04 17:10:00,Debit,Memphis,D000024,23.163.145.195,M026,ATM,45,Doctor,263,1.0,7717.34,2024-11-04 08:10:00
424,TX000424,AC00262,1096.7,2023-03-27 16:51:00,Debit,Colorado Springs,D000234,167.164.55.0,M005,Online,24,Student,147,1.0,1093.89,2024-11-04 08:11:00
1611,TX001611,AC00056,142.55,2023-05-16 16:45:00,Debit,Kansas City,D000091,112.56.160.202,M071,Online,67,Doctor,97,1.0,1262.68,2024-11-04 08:07:00
113,TX000113,AC00396,254.37,2023-04-20 18:26:00,Credit,Dallas,D000477,143.212.47.226,M012,Online,51,Engineer,174,1.0,8849.26,2024-11-04 08:06:00
33,TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,2.93258857489891,9690.15,2024-11-04 08:11:00
1981,TX001981,AC00386,135.43,2023-10-06 16:14:00,Debit,San Jose,D000626,120.170.93.69,M031,ATM,57,Retired,92,1.0,5315.83,2024-11-04 08:08:00
1450,TX001450,AC00218,152.01,2023-02-23 16:41:00,Debit,Fort Worth,D000407,80.75.92.66,M095,ATM,42,Engineer,111,2.93258857489891,4625.12,2024-11-04 08:11:00
295,TX000295,AC00148,757.41,2023-05-05 16:31:00,Debit,Los Angeles,D000383,125.89.163.224,M048,ATM,22,Student,37,1.0,9532.42,2024-11-04 08:09:00
425,TX000425,AC00267,119.72,2023-02-03 18:15:00,Debit,Tucson,D000445,147.227.81.224,M011,Branch,30,Engineer,123,1.0,3435.34,2024-11-04 08:10:00
1050,TX001050,AC00276,642.53,2023-08-14 16:36:00,Debit,Mesa,D000202,5.50.152.168,M048,ATM,65,Doctor,128,1.0,11417.91,2024-11-04 08:12:00
1726,TX001726,AC00246,290.86,2023-06-05 17:45:00,Debit,Louisville,D000621,173.232.121.213,M068,Online,45,Doctor,36,1.0,14631.88,2024-11-04 08:10:00
2148,TX002148,AC00457,256.95,2023-05-04 16:37:00,Debit,San Diego,D000672,49.172.82.247,M047,Branch,26,Engineer,71,1.0,2531.24,2024-11-04 08:08:00
1743,TX001743,AC00053,117.66,2023-08-03 18:19:00,Credit,Memphis,D000047,34.125.226.63,M014,Branch,39,Doctor,126,1.0,6794.17,2024-11-04 08:07:00
1472,TX001472,AC00250,153.07,2023-04-03 18:37:00,Debit,Detroit,D000503,92.214.76.157,M034,ATM,56,Engineer,116,1.0,8873.43,2024-11-04 08:12:00
2359,TX002359,AC00132,220.82,2023-12-29 16:30:00,Debit,Louisville,D000297,37.143.57.20,M089,Branch,42,Engineer,31,1.0,4298.13,2024-11-04 08:08:00
622,TX000622,AC00219,408.46,2023-03-01 16:17:00,Debit,Raleigh,D000669,201.95.180.152,M058,Branch,64,Retired,28,1.0,3140.79,2024-11-04 08:08:00
540,TX000540,AC00407,186.69,2023-12-29 16:38:00,Debit,New York,D000546,162.151.179.167,M015,Branch,30,Engineer,54,1.0,8602.22,2024-11-04 08:08:00
2165,TX002165,AC00064,182.42,2023-03-22 16:59:00,Debit,Kansas City,D000515,3.77.114.6,M080,Branch,51,Retired,137,1.0,3051.29,2024-11-04 08:10:00
1029,TX001029,AC00002,516.47,2023-12-21 17:00:00,Credit,Charlotte,D000420,59.132.247.252,M026,ATM,25,Student,94,1.0,1305.06,2024-11-04 08:09:00
317,TX000317,AC00200,12.23,2023-10-12 16:02:00,Debit,Houston,D000177,23.92.205.75,M065,ATM,42,Engineer,139,1.0,7844.88,2024-11-04 08:07:00
56,TX000056,AC00374,316.95,2023-08-04 17:53:00,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25,Student,83,1.0,1324.03,2024-11-04 08:09:00
788,TX000788,AC00102,316.37,2023-08-28 17:34:00,Debit,Colorado Springs,D000599,218.83.2.94,M088,ATM,53,Engineer,86,1.0,4671.69,2024-11-04 08:08:00
413,TX000413,AC00421,242.39,2023-11-20 16:29:00,Credit,San Antonio,D000451,26.105.49.129,M008,ATM,18,Student,271,1.0,1328.73,2024-11-04 08:06:00
1870,TX001870,AC00396,145.77,2023-04-05 16:08:00,Debit,Memphis,D000175,158.129.49.240,M040,ATM,68,Retired,237,1.0,5294.98,2024-11-04 08:11:00
